bathroom,cancellation,distance,entertainment,kitchen,length,location,name,price_monthly,price_nightly,price_weekly,rv_details,sleeps,temperature_control,vehicle_type,year
"Shower,Toilet,Bathroom Sink",Standard,"40.1 miles from San Francisco, CA","TV,DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",35ft,"San Jose, CA",2006 Itasca Sunova 34A,"$4,565",$179,"$1,128","Year - 2006,Manufacturer - Itasca,Make - Sunova 34A,Class - Class A Motor Home,Sleeps - 5,Fresh water tank - 72.0 gal,Length - 35.0 ft",5,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2006
,Strict,"84.3 miles from San Francisco, CA","CD Player,AM/FM Radio","Kitchen Sink,Microwave,Range (Stove)",15ft,"Pacific Grove, CA",2014 A Liner Pre reserved campsites inq...,"$1,700",$89,$500,"Year - 2014,Manufacturer - A Liner,Make - Aliner,Model - Classic,Class - Pop-up Camper,Sleeps - 4,Length - 15.0 ft",4,"In Dash Air Conditioning,Hot & Cold Water Supply",Pop-up Camper,2014
"Shower,Toilet,Bathroom Sink",Standard,"47.2 miles from San Francisco, CA","TV,DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",28ft,"Vacaville, CA",2015 Thor Motor Coach Freedom Elite,"$3,872",$189,"$1,097","Year - 2015,Manufacturer - Thor Motor Coach,Make - Freedom Elite,Class - Class C Motor Home,Sleeps - 8,Length - 28.0 ft",8,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2015
"Shower,Bathroom Sink,Toilet",Standard,"16.8 miles from San Francisco, CA","CD Player,iPod Docking Station,TV,DVD Player,AM/FM Radio","Microwave,Range (Stove),Slide Out,Refrigerator,Kitchen Sink",32.0ft,"Pinole, CA",Greatness on wheels,"$5,000",$300,"$2,000","Year - 2012,Manufacturer - Thor Motor Coach,Make - Hurricane,Model - 31J,Class - Class A Motor Home,Sleeps - 5,Total Number of Beds - 4,Number of Bunk Beds - 1,Slides - 1,Fresh water tank - 30.0 gal,Length - 32.0 ft,Height - 11.0 ft",5,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2012
"Shower,Toilet,Bathroom Sink",Standard,"42.0 miles from San Francisco, CA","TV,DVD Player,AM/FM Radio,CD Player","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",25.0ft,"San Jose, CA",The Ultimate Vacation Machine,"$7,300",$270,"$1,850","Year - 2017,Manufacturer - Winnebago,Make - Navion,Model - 24G,Class - Class C Motor Home,Sleeps - 4,Number of Bunk Beds - 1,Slides - 2,Fresh water tank - 31.0 gal,Length - 25.0 ft,Height - 11.0 ft",4,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2017
"Shower,Toilet,Bathroom Sink",Standard,"48.6 miles from San Francisco, CA","TV,DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",24ft,"Rio Vista, CA",2018 starcraft outfitter 24bh,"$2,700",$120,$750,"Year - 2018,Manufacturer - starcraft,Make - outfitter 24bh,Class - Travel Trailer,Sleeps - 8,Length - 24.0 ft",8,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2018
"Shower,Toilet,Bathroom Sink",Strict,"61.9 miles from San Francisco, CA","TV,iPod Docking Station,CD Player,AM/FM Radio,DVD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",41.0ft,"Aptos, CA",2018 American Coach American Dream 40J,"$12,000","$1,000","$6,300","Year - 2018,Manufacturer - American Coach,Make - American Dream,Model - 40J,Class - Class A Motor Home,Sleeps - 8,Total Number of Beds - 3,Number of Bunk Beds - 2,Slides - 2,Fresh water tank - 100.0 gal,Length - 41.0 ft,Height - 13.5 ft",8,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2018
"Shower,Toilet,Bathroom Sink",Standard,"93.4 miles from San Francisco, CA","TV,DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",27.0ft,"Granite Bay, CA",2018 Forest River RV Cherokee 274DBH,"$3,315",$130,$819,"Year - 2018,Manufacturer - Forest River RV,Make - Cherokee Grey Wolf,Model - 27DBH,Class - Travel Trailer,Sleeps - 7,Total Number of Beds - 5,Number of Bunk Beds - 2,Slides - 1,Fresh water tank - 44.0 gal,Length - 27.0 ft,Height - 11.0 ft",7,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2018
"Shower,Toilet,Bathroom Sink",Standard,"42.6 miles from San Francisco, CA","TV,iPod Docking Station,CD Player,AM/FM Radio,DVD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove)",24.0ft,"San Jose, CA",2018 Coachmen RV Freelander 21QB Ford 3...,"$6,000",$234,"$1,500","Year - 2018,Manufacturer - Coachmen RV,Make - Freelander,Model - 21QB Ford 350,Class - Class C Motor Home,Sleeps - 6,Number of Bunk Beds - 1,Length - 24.0 ft,Height - 130.0 ft",6,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2018
"Shower,Toilet,Bathroom Sink",Standard,"76.6 miles from San Francisco, CA","iPod Docking Station,TV,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",33.0ft,"Sacramento, CA",Forest River FR3 Class A 32 Foot Motor H...,"$4,000",$245,"$1,250","Year - 2016,Manufacturer - Forest River RV,Make - FR3,Model - 32DS,Class - Class A Motor Home,Sleeps - 8,Slides - 2,Length - 33.0 ft,Height - 12.0 ft",8,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2016
"Toilet,Shower,Bathroom Sink",Strict,"43.8 miles from San Francisco, CA","CD Player,TV,iPod Docking Station,DVD Player,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink,Microwave",21ft,"Fairfield, CA",American RV Rentals,"$2,995",$150,$995,"Year - 2018,Manufacturer - Salem by Forest River,Make - 211SSXL,Class - Toy Hauler,Sleeps - 6,Fresh water tank - 56.0 gal,Length - 21.0 ft",6,"Roof Air Conditioning,Hot & Cold Water Supply",Toy Hauler,2018
"Shower,Toilet,Bathroom Sink",Strict,"43.8 miles from San Francisco, CA","CD Player,iPod Docking Station,TV,DVD Player,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink,Microwave",21ft,"Fairfield, CA",American RV Rentals,"$2,995",$150,$995,"Year - 2018,Manufacturer - Salem by Forest River,Make - 211SSXL,Class - Toy Hauler,Sleeps - 6,Fresh water tank - 56.0 gal,Length - 21.0 ft",6,"Roof Air Conditioning,Hot & Cold Water Supply",Toy Hauler,2018
"Shower,Bathroom Sink,Toilet",Strict,"68.5 miles from San Francisco, CA","CD Player,iPod Docking Station,TV,DVD Player,AM/FM Radio","Microwave,Range (Stove),Slide Out,Refrigerator,Kitchen Sink",30.0ft,"Lodi, CA",Luxury RV for your vacation,,$355,"$2,450","Year - 2018,Manufacturer - Forest River RV,Make - Forester,Model - 2861DS Ford,Class - Class C Motor Home,Sleeps - 6,Total Number of Beds - 2,Slides - 2,Fresh water tank - 45.0 gal,Length - 30.0 ft,Height - 11.5 ft",6,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2018
"Shower,Toilet,Bathroom Sink",Standard,"98.5 miles from San Francisco, CA","TV,DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",32.0ft,"Los Banos, CA",2017 Thor Motor Coach Four Winds 31W,"$5,840",$229,"$1,443","Year - 2017,Manufacturer - Thor Motor Coach,Make - Four Winds,Model - 31W,Class - Class C Motor Home,Sleeps - 8,Number of Bunk Beds - 1,Slides - 1,Length - 32.0 ft,Height - 133.0 ft",8,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2017
,Strict,"59.3 miles from San Francisco, CA",,,30ft,"Morgan Hill, CA",Winter Specials Available Now!,,$289,"$1,821","Year - 2018,Manufacturer - Forest River,Make - FR3 29DS (A12928),Class - Class A Motor Home,Sleeps - 6,Fresh water tank - 50.0 gal,Length - 30.0 ft",6,Roof Air Conditioning,Class A Motor Home,2018
,Strict,"59.3 miles from San Francisco, CA",,,32.0ft,"Morgan Hill, CA",Winter Specials Available Now!,,$160,,"Year - 2019,Manufacturer - Winnebago,Make - Minnie Winnie,Model - 27BHSS,Class - Travel Trailer,Sleeps - 7,Length - 32.0 ft",7,,Travel Trailer,2019
"Shower,Toilet,Bathroom Sink",Standard,"69.4 miles from San Francisco, CA","TV,DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",32.0ft,"Watsonville, CA",The Family Rig!,"$3,500",$145,$875,"Year - 2017,Manufacturer - Keystone RV,Make - Passport,Model - 2920BH Grand Touring,Class - Travel Trailer,Sleeps - 10,Total Number of Beds - 7,Slides - 1,Fresh water tank - 40.0 gal,Length - 32.0 ft,Height - 11.0 ft",10,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2017
