bathroom,cancellation,distance,entertainment,kitchen,length,location,name,price_monthly,price_nightly,price_weekly,rv_details,sleeps,temperature_control,vehicle_type,year
"Shower,Toilet,Bathroom Sink",Flexible,"11.7 miles from Seattle, WA","TV,DVD Player,AM/FM Radio","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",33.0ft,"Shoreline, WA",2006 Jayco Jayflight 31 BHDS,"$1,990",$95,$520,"Year - 2006,Manufacturer - Jayco,Make - Jay Flight,Model - 31BHDS,Class - Travel Trailer,Sleeps - 8,Total Number of Beds - 5,Number of Bunk Beds - 2,Slides - 2,Fresh water tank - 46.0 gal,Length - 33.0 ft,Height - 11.0 ft",8,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2006
"Shower,Toilet,Bathroom Sink",Flexible,"17.9 miles from Seattle, WA","TV,iPod Docking Station,CD Player,DVD Player,AM/FM Radio","Refrigerator,Microwave,Kitchen Sink,Range (Stove),Slide Out",36.0ft,"Port Orchard, WA",2014 Coachman Mirada,"$4,999",$199,"$1,299","Year - 2014,Manufacturer - Coachmen RV,Make - Mirada,Model - 35DL,Class - Class A Motor Home,Sleeps - 4,Total Number of Beds - 2,Slides - 2,Fresh water tank - 80.0 gal,Length - 36.0 ft,Height - 11.0 ft",4,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2014
"Shower,Toilet,Bathroom Sink",Standard,"18.9 miles from Seattle, WA","AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove)",21.0ft,"Mill Creek, WA",2018 Venture Sonic Lite SL169VBH,"$2,550",$105,$650,"Year - 2018,Manufacturer - Venture RV,Make - Sonic Lite,Model - 169VBH,Class - Travel Trailer,Sleeps - 4,Total Number of Beds - 3,Fresh water tank - 38.0 gal,Length - 21.0 ft,Height - 9.0 ft",4,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2018
"Bathroom Sink,Toilet,Shower",Standard,"18.5 miles from Seattle, WA",TV,"Range (Stove),Microwave,Kitchen Sink,Refrigerator,Slide Out",20.0ft,"Auburn, WA",Perfect beginner camper for small family,"$3,600",$150,$900,"Year - 2020,Manufacturer - Forest River RV,Make - No Boundaries,Model - NB16.8,Class - Travel Trailer,Sleeps - 4,Total Number of Beds - 2,Slides - 1,Fresh water tank - 30.0 gal,Length - 20.0 ft,Height - 9.7 ft",4,"Hot & Cold Water Supply,Roof Air Conditioning",Travel Trailer,2020
"Toilet,Shower,Bathroom Sink",Standard,"9.4 miles from Seattle, WA","CD Player,TV,DVD Player,AM/FM Radio,iPod Docking Station","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",32.0ft,"Seattle, WA",Tioga Infinity... and beyond!!,"$3,500",$165,$900,"Year - 2008,Manufacturer - Fleetwood RV,Make - Tioga,Model - 31M,Class - Class C Motor Home,Sleeps - 8,Total Number of Beds - 4,Slides - 2,Fresh water tank - 35.0 gal,Length - 32.0 ft,Height - 12.0 ft",8,"In Dash Air Conditioning,Hot & Cold Water Supply,Roof Air Conditioning",Class C Motor Home,2008
"Shower,Toilet,Bathroom Sink",Standard,"7.0 miles from Seattle, WA","CD Player,TV,DVD Player,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",27.0ft,"Seattle, WA",North Seattle Family Friendly Bunk House,"$2,700",$100,$625,"Year - 2017,Manufacturer - Dutchmen RV,Make - Coleman Lantern Series,Model - 244BHWE,Class - Travel Trailer,Sleeps - 8,Total Number of Beds - 4,Slides - 1,Fresh water tank - 60.0 gal,Length - 27.0 ft,Height - 11.0 ft",8,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2017
,Standard,"13.9 miles from Seattle, WA",AM/FM Radio,"Range (Stove),Refrigerator,Kitchen Sink",14.0ft,"Lynnwood, WA",Fun Red and White ,"$3,100",$120,$800,"Year - 2008,Manufacturer - tab,Make - tab,Model - Q,Class - Travel Trailer,Sleeps - 2,Total Number of Beds - 1,Fresh water tank - 5.0 gal,Length - 14.0 ft,Height - 7.5 ft",2,,Travel Trailer,2008
"Shower,Toilet,Bathroom Sink",Standard,"14.6 miles from Seattle, WA","TV,DVD Player,AM/FM Radio","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",22.83ft,"Sammamish, WA",2014 Keystone Outback,"$2,652",$104,$655,"Year - 2013,Manufacturer - Keystone RV,Make - Outback,Model - 210RS,Class - Travel Trailer,Sleeps - 6,Total Number of Beds - 5,Number of Bunk Beds - 2,Slides - 1,Fresh water tank - 43.0 gal,Length - 22.8 ft,Height - 10.9 ft",6,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2013
"Shower,Bathroom Sink,Toilet",Flexible,"19.9 miles from Seattle, WA","CD Player,AM/FM Radio","Microwave,Range (Stove),Slide Out,Refrigerator,Kitchen Sink",33.0ft,"Gig Harbor, WA",Steve and Amanda's Mobile Family Oasis,"$2,834",$109,$687,"Year - 2017,Manufacturer - Forest River RV,Make - Cherokee Cascade,Model - 29BH,Class - Travel Trailer,Sleeps - 8,Total Number of Beds - 5,Number of Bunk Beds - 2,Slides - 1,Fresh water tank - 25.0 gal,Length - 33.0 ft,Height - 126.0 ft",8,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2017
,Standard,"10.2 miles from Seattle, WA","TV,DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove)",13.0ft,"Bellevue, WA",2017 ,"$2,560",$108,$650,"Year - 2017,Manufacturer - Little Guy Worldwide,Make - TAG,Model - Max,Class - Travel Trailer,Sleeps - 2,Total Number of Beds - 1,Fresh water tank - 12.0 gal,Length - 13.0 ft,Height - 6.0 ft",2,Roof Air Conditioning,Travel Trailer,2017
