bathroom,cancellation,distance,entertainment,kitchen,length,location,name,price_monthly,price_nightly,price_weekly,rv_details,sleeps,temperature_control,vehicle_type,year
"Shower,Toilet,Bathroom Sink",Standard,"23.4 miles from Los Angeles, CA","CD Player,TV,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink,Microwave",40ft,"Stanton, CA",1810 Mandalay,,$379,"$2,553","Year - 2007,Class - Class A Motor Home,Sleeps - 8,Length - 40.0 ft",8,"Roof Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2007
"Shower,Bathroom Sink,Toilet",Standard,"23.4 miles from Los Angeles, CA","TV,CD Player,DVD Player,AM/FM Radio","Slide Out,Refrigerator,Kitchen Sink,Microwave,Range (Stove)",40ft,"Stanton, CA",1773 Damon Tuscany,,$379,"$2,553","Year - 2007,Class - Class A Motor Home,Sleeps - 5,Length - 40.0 ft",5,"Roof Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2007
"Shower,Bathroom Sink,Toilet",Standard,"23.4 miles from Los Angeles, CA","CD Player,DVD Player,TV,AM/FM Radio","Range (Stove),Kitchen Sink,Microwave,Slide Out,Refrigerator",38ft,"Stanton, CA",1760 Sport Coach,,$379,"$2,553","Year - 2009,Manufacturer - Cross-Country,Make - Sports Coach,Class - Class A Motor Home,Sleeps - 7,Length - 38.0 ft",7,"Hot & Cold Water Supply,Roof Air Conditioning",Class A Motor Home,2009
"Toilet,Bathroom Sink,Shower",Standard,"23.4 miles from Los Angeles, CA","CD Player,DVD Player,TV,AM/FM Radio","Slide Out,Microwave,Refrigerator,Range (Stove),Kitchen Sink",40ft,"Stanton, CA",1976 Crescendo,,$375,"$2,525","Year - 2008,Class - Class A Motor Home,Sleeps - 6,Length - 40.0 ft",6,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2008
"Toilet,Bathroom Sink,Shower",Standard,"23.4 miles from Los Angeles, CA",TV,"Slide Out,Microwave,Refrigerator,Range (Stove),Kitchen Sink",44ft,"Stanton, CA",1971 Dynasty,,$449,"$3,043","Year - 2007,Manufacturer - Monaco,Make - Dynasty,Class - Class A Motor Home,Sleeps - 6,Length - 44.0 ft",6,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2007
,Standard,"23.4 miles from Los Angeles, CA",,,43ft,"Stanton, CA",1960 Dutchstar,,$539,"$3,675","Year - 2007,Manufacturer - Newmar,Make - Dutchstar,Class - Class A Motor Home,Sleeps - 6,Length - 43.0 ft",6,,Class A Motor Home,2007
,Standard,"23.4 miles from Los Angeles, CA",,,35ft,"Stanton, CA",1945 Terra,,$249,"$1,645","Year - 2008,Manufacturer - Fleetwood,Make - Terra,Class - Class A Motor Home,Sleeps - 8,Length - 35.0 ft",8,,Class A Motor Home,2008
,Standard,"23.4 miles from Los Angeles, CA",,,34ft,"Stanton, CA",1944 Mirada,,$269,"$1,785","Year - 2009,Class - Class A Motor Home,Sleeps - 5,Length - 34.0 ft",5,,Class A Motor Home,2009
"Toilet,Bathroom Sink,Shower",Standard,"23.4 miles from Los Angeles, CA","CD Player,AM/FM Radio,DVD Player,TV","Slide Out,Microwave,Refrigerator,Range (Stove),Kitchen Sink",45ft,"Stanton, CA",1940 Patriot Thunder,,$845,"$5,815","Year - 2008,Class - Class A Motor Home,Sleeps - 7,Length - 45.0 ft",7,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2008
"Shower,Toilet,Bathroom Sink",Standard,"34.2 miles from Los Angeles, CA","CD Player,TV,DVD Player,AM/FM Radio","Range (Stove),Refrigerator,Kitchen Sink,Microwave",21ft,"Simi Valley, CA",2017 Keystone Hideout,"$3,000",$125,$750,"Year - 2017,Manufacturer - Keystone,Make - Hideout,Class - Travel Trailer,Sleeps - 7,Fresh water tank - 60.0 gal,Length - 21.0 ft",7,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2017
