bathroom,cancellation,distance,entertainment,kitchen,length,location,name,price_monthly,price_nightly,price_weekly,rv_details,sleeps,temperature_control,vehicle_type,year
"Shower,Toilet,Bathroom Sink",Strict,"20.7 miles from Boise, ID","CD Player,TV,DVD Player,AM/FM Radio","Range (Stove),Kitchen Sink,Refrigerator,Microwave,Slide Out",31.0ft,"Nampa, ID",31′ Jayco Redhawk Bunk House Class C RV ...,,$253,"$1,520","Year - 2015,Manufacturer - Jayco,Make - Redhawk,Model - 31XL,Class - Class C Motor Home,Sleeps - 7,Total Number of Beds - 6,Number of Bunk Beds - 2,Slides - 2,Length - 31.0 ft,Height - 11.0 ft",7,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2015
"Toilet,Shower,Bathroom Sink",Strict,"20.7 miles from Boise, ID","TV,AM/FM Radio,CD Player","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",29.0ft,"Nampa, ID",26' Forest River Cruise Lite Bunk House ...,,$159,$957,"Year - 2017,Manufacturer - Forest River RV,Make - Salem Cruise Lite,Model - 261BHXL,Class - Travel Trailer,Sleeps - 7,Total Number of Beds - 5,Number of Bunk Beds - 2,Slides - 1,Length - 29.0 ft,Height - 10.0 ft",7,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2017
"Shower,Toilet,Bathroom Sink",Standard,"24.1 miles from Boise, ID","DVD Player,AM/FM Radio,TV,iPod Docking Station,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",31ft,"Caldwell, ID",2020 Coachmen 2020 Coachmen FREELANDER 3...,"$7,650",$300,"$1,890","Year - 2020,Manufacturer - Coachmen,Make - 2020 Coachmen FREELANDER 31BH,Class - Class C Motor Home,Sleeps - 6,Length - 31.0 ft",6,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2020
"Shower,Toilet,Bathroom Sink",Standard,"99.0 miles from Boise, ID","DVD Player,AM/FM Radio,CD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove)",25.0ft,"Buhl, ID",2019 Keystone Hideout,"$2,907",$114,$718,"Year - 2019,Manufacturer - Keystone,Make - Hideout,Model - LHSWE,Class - Travel Trailer,Sleeps - 10,Total Number of Beds - 5,Number of Bunk Beds - 2,Fresh water tank - 43.0 gal,Length - 25.0 ft,Height - 10.3 ft",10,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2019
"Toilet,Shower,Bathroom Sink",Standard,"20.7 miles from Boise, ID","CD Player,TV,DVD Player,AM/FM Radio","Range (Stove),Kitchen Sink,Refrigerator,Microwave,Slide Out",29.0ft,"Nampa, ID",29′ Thor Ace Luxury Class A RV Rental Fu...,,$220,"$1,500","Year - 2012,Manufacturer - Thor Motor Coach,Make - ACE,Model - 29.2,Class - Class A Motor Home,Sleeps - 6,Total Number of Beds - 4,Slides - 1,Length - 29.0 ft,Height - 12.0 ft",6,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2012
"Toilet,Shower,Bathroom Sink",Strict,"20.7 miles from Boise, ID","TV,DVD Player","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",17.0ft,"Nampa, ID",17′ Forest River Viking Ultra-Lite Bunk ...,,$118,$728,"Year - 2017,Manufacturer - Forest River RV,Make - viking,Model - 17,Class - Travel Trailer,Sleeps - 6,Total Number of Beds - 4,Number of Bunk Beds - 2,Length - 17.0 ft",6,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2017
"Shower,Bathroom Sink,Toilet",Strict,"19.3 miles from Boise, ID","CD Player,iPod Docking Station,TV,DVD Player,AM/FM Radio","Microwave,Range (Stove),Slide Out,Refrigerator,Kitchen Sink",31.0ft,"Nampa, ID",Stunning Motorhome Ready to go on an Adv...,"$3,500",$185,"$1,000","Year - 2006,Manufacturer - Winnebago,Make - Outlook,Model - 31C,Class - Class C Motor Home,Sleeps - 8,Length - 31.0 ft",8,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class C Motor Home,2006
"Toilet,Shower,Bathroom Sink",Strict,"20.7 miles from Boise, ID","CD Player,TV","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",34.0ft,"Nampa, ID",2017 29' Jayco Jayflight QBH Bunkhouse T...,,$159,$957,"Year - 2015,Manufacturer - Jayco,Make - Jay Flight,Model - 29BHDS,Class - Travel Trailer,Sleeps - 9,Total Number of Beds - 5,Number of Bunk Beds - 2,Slides - 2,Length - 34.0 ft,Height - 11.0 ft",9,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2015
"Shower,Bathroom Sink,Toilet",Strict,"20.7 miles from Boise, ID","TV,DVD Player,AM/FM Radio","Microwave,Range (Stove),Slide Out,Refrigerator,Kitchen Sink",37.0ft,"Nampa, ID",Bunk House. Comes With Guaranteed Reserv...,,$373,"$2,609","Year - 2015,Manufacturer - Coachmen RV,Make - Encounter,Model - 36BH,Class - Class A Motor Home,Sleeps - 6,Total Number of Beds - 6,Number of Bunk Beds - 2,Slides - 2,Length - 37.0 ft,Height - 12.0 ft",6,"Roof Air Conditioning,In Dash Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2015
"Shower,Toilet,Bathroom Sink",Strict,"20.7 miles from Boise, ID","TV,CD Player,AM/FM Radio,DVD Player","Refrigerator,Kitchen Sink,Microwave,Range (Stove),Slide Out",36.0ft,"Nampa, ID",2017 Thor Mirimar. Offers Guaranteed Res...,,$289,"$1,735","Year - 2017,Manufacturer - Thor Motor Coach,Make - Miramar,Model - 35.2,Class - Class A Motor Home,Sleeps - 9,Slides - 2,Length - 36.0 ft,Height - 12.0 ft",9,"In Dash Air Conditioning,Roof Air Conditioning,Hot & Cold Water Supply",Class A Motor Home,2017
"Shower,Bathroom Sink,Toilet",Strict,"20.7 miles from Boise, ID","CD Player,DVD Player,AM/FM Radio,TV","Range (Stove),Refrigerator,Kitchen Sink,Microwave,Slide Out",28.0ft,"Nampa, ID",24′ Outdoors Bunk House All Season Trave...,,$143,$858,"Year - 2018,Manufacturer - Outdoors RV,Make - Timber Ridge Mountain Series,Model - 27BHS,Class - Travel Trailer,Sleeps - 8,Total Number of Beds - 4,Number of Bunk Beds - 2,Slides - 1,Length - 28.0 ft,Height - 11.0 ft",8,"Roof Air Conditioning,Hot & Cold Water Supply",Travel Trailer,2018
